boundary_id,impl_hash,role,machine,payload_size_bytes,operation,run,wall_clock_ms,component_work_ms,components_json,params_json,recipients,recipient_index,chunk_bytes,ciphertext_bytes,official_commit,official_version,source_hashes_json,dependency_versions_json,stream_format
GLSubmitCrypto/globaleaks-5.0.99/receipt-session-selfwrap-answers-filemeta-r5-gcev2-official-delivery/v1,0c83ba1681bd140e4f290506635869053deb5d50cd29d6138c03c1906332d6e4,comparison,xeon-server,5368709120,GLSubmitCrypto,1,13963.053942000,13963.002815000,"{""answers_encryption"":0.132755,""file_metadata_encryption"":0.32274,""gce_v2_delivery_encryption"":13961.681874,""receipt_hash"":0.015883,""recipient_tip_key_wraps"":0.533511,""session_private_key_protection"":0.059863,""tip_keypair"":0.056293,""whistleblower_self_wrap"":0.141441,""whistleblower_session_public_key"":0.058455}","{""chunk_bytes"":65536,""payload_size_bytes"":5368709120,""recipient_index"":""all"",""recipients"":5,""stream_format"":""GCE-v2-SecretStream""}",5,all,65536,5504511011,8e015fd4cb8d56c54b8c9d9e0e695d6e815510f5,5.0.99,"{""backend/globaleaks/handlers/recipient/rtip.py"":""cb3235078545a5ea8d2ce8f6d4f9718499a29c26de49e2f9b763cc2f72e73e3e"",""backend/globaleaks/handlers/whistleblower/submission.py"":""5b0ffa938b25364c1b8ae8b2d14b7fa63c720c09f02ecf8f495b9a1d01190953"",""backend/globaleaks/jobs/delivery.py"":""7146617caa85fe73ab72fb5d051395f21e93091a91c801217d52455195323863"",""backend/globaleaks/utils/crypto.py"":""feccc66f8dba25ab9aa903260409bfd6e3a819b3b9634f9d9f2c290bee2521b5"",""backend/requirements/requirements.txt.noble"":""8eae78b00ac8762b4ccaaee6db49cc6acd8b95583d98ecbdd6fe8e22055ec199""}","{""PyNaCl"":""1.5.0"",""Twisted"":""24.3.0"",""cryptography"":""41.0.7"",""pyotp"":""2.9.0""}",GCE-v2-SecretStream
GLRecipientOpen/globaleaks-5.0.99/one-recipient-tip-answers-filemeta-gcev2/v1,0c83ba1681bd140e4f290506635869053deb5d50cd29d6138c03c1906332d6e4,comparison,xeon-server,5368709120,GLRecipientOpen,1,9860.264165000,9860.246151000,"{""answers_decryption"":0.142508,""file_metadata_decryption"":0.329681,""gce_v2_file_decryption"":9859.595418,""recipient_tip_key_unwrap"":0.178544}","{""chunk_bytes"":65536,""payload_size_bytes"":5368709120,""recipient_index"":0,""recipients"":5,""stream_format"":""GCE-v2-SecretStream""}",5,0,65536,5504683640,8e015fd4cb8d56c54b8c9d9e0e695d6e815510f5,5.0.99,"{""backend/globaleaks/handlers/recipient/rtip.py"":""cb3235078545a5ea8d2ce8f6d4f9718499a29c26de49e2f9b763cc2f72e73e3e"",""backend/globaleaks/handlers/whistleblower/submission.py"":""5b0ffa938b25364c1b8ae8b2d14b7fa63c720c09f02ecf8f495b9a1d01190953"",""backend/globaleaks/jobs/delivery.py"":""7146617caa85fe73ab72fb5d051395f21e93091a91c801217d52455195323863"",""backend/globaleaks/utils/crypto.py"":""feccc66f8dba25ab9aa903260409bfd6e3a819b3b9634f9d9f2c290bee2521b5"",""backend/requirements/requirements.txt.noble"":""8eae78b00ac8762b4ccaaee6db49cc6acd8b95583d98ecbdd6fe8e22055ec199""}","{""PyNaCl"":""1.5.0"",""Twisted"":""24.3.0"",""cryptography"":""41.0.7"",""pyotp"":""2.9.0""}",GCE-v2-SecretStream
GLRecipientOpenAggregate5/globaleaks-5.0.99/serial-audit-only/v1,0c83ba1681bd140e4f290506635869053deb5d50cd29d6138c03c1906332d6e4,comparison,xeon-server,5368709120,GLRecipientOpenAggregate5,1,49648.143333000,49648.105394000,"{""recipient_0"":9986.10642,""recipient_1"":9936.533582,""recipient_2"":9987.217881,""recipient_3"":9874.402104,""recipient_4"":9863.845407}","{""chunk_bytes"":65536,""payload_size_bytes"":5368709120,""recipient_index"":""all"",""recipients"":5,""stream_format"":""GCE-v2-SecretStream""}",5,all,65536,5504683640,8e015fd4cb8d56c54b8c9d9e0e695d6e815510f5,5.0.99,"{""backend/globaleaks/handlers/recipient/rtip.py"":""cb3235078545a5ea8d2ce8f6d4f9718499a29c26de49e2f9b763cc2f72e73e3e"",""backend/globaleaks/handlers/whistleblower/submission.py"":""5b0ffa938b25364c1b8ae8b2d14b7fa63c720c09f02ecf8f495b9a1d01190953"",""backend/globaleaks/jobs/delivery.py"":""7146617caa85fe73ab72fb5d051395f21e93091a91c801217d52455195323863"",""backend/globaleaks/utils/crypto.py"":""feccc66f8dba25ab9aa903260409bfd6e3a819b3b9634f9d9f2c290bee2521b5"",""backend/requirements/requirements.txt.noble"":""8eae78b00ac8762b4ccaaee6db49cc6acd8b95583d98ecbdd6fe8e22055ec199""}","{""PyNaCl"":""1.5.0"",""Twisted"":""24.3.0"",""cryptography"":""41.0.7"",""pyotp"":""2.9.0""}",GCE-v2-SecretStream
