boundary_id,impl_hash,role,machine,payload_size_bytes,operation,mean_ms,ci95_ms,runs,recipients,chunk_bytes,official_commit,official_version,stream_format,storage
GLSubmitCrypto/globaleaks-5.0.99/receipt-session-selfwrap-answers-filemeta-r5-gcev2-official-delivery/v1,0c83ba1681bd140e4f290506635869053deb5d50cd29d6138c03c1906332d6e4,comparison,xeon-server,104857600,GLSubmitCrypto,272.237831067,1.029694091,30,5,65536,8e015fd4cb8d56c54b8c9d9e0e695d6e815510f5,5.0.99,GCE-v2-SecretStream,/dev/shm/aware-clean-xeon-20260904/globaleaks/100m
GLRecipientOpen/globaleaks-5.0.99/one-recipient-tip-answers-filemeta-gcev2/v1,0c83ba1681bd140e4f290506635869053deb5d50cd29d6138c03c1906332d6e4,comparison,xeon-server,104857600,GLRecipientOpen,198.932198300,0.603268925,30,5,65536,8e015fd4cb8d56c54b8c9d9e0e695d6e815510f5,5.0.99,GCE-v2-SecretStream,/dev/shm/aware-clean-xeon-20260904/globaleaks/100m
